bigraph,freq,propn
aa,1805574,0.00013443635580567023
ab,44409684,0.003306580666005038
ac,58184062,0.004332169859142398
ad,13987774,0.0010414778693054415
ae,70866,5.276420014092265e-06
af,7273046,0.0005415240803461983
ag,19090036,0.0014213734092532644
ah,43275337,0.0032221213877372435
ai,7365960,0.0005484421128186021
aj,127376,9.483945414091613e-06
ak,6469331,0.0004816824367988531
al,112384614,0.008367742310637452
am,24880410,0.0018525032213306991
an,169703870,0.012635521916531367
ao,341787,2.5448194724643027e-05
ap,7646912,0.0005693607586543943
aq,42022,3.1288025545703883e-06
ar,72389716,0.005389870266656154
as,112229183,0.00835616949378296
at,32476863,0.002418106989644294
au,268269668,0.01997436634506092
av,871254,6.487034745799032e-05
aw,279640,2.082095917281575e-05
ax,1639533,0.00012207355762939537
ay,1848901,0.00013766232382913106
az,1124136,8.369900500891291e-05
aß,5830949,0.0004341508763687985
ba,13308866,0.0009909288929426249
bb,538738,4.0112437072108464e-05
be,153036292,0.011394515762019415
bi,35063492,0.002610697809284622
bj,801497,5.967649947838043e-05
bl,17213098,0.0012816235541970977
bn,10374,7.72409635455552e-07
bo,5285377,0.00039352960495615575
br,8736132,0.0006504600475623273
bs,10303848,0.0007671863772382321
bt,170051,1.2661367931256225e-05
bu,8645580,0.0006437178808658003
bw,16617,1.2372403038716896e-06
by,1077405,8.021958774705891e-05
bä,11494,8.558006892159356e-07
bö,1151822,8.576040207535038e-05
bü,1545174,0.00011504793580638107
ca,1290582,9.60919579858779e-05
cc,338003,2.5166452093009733e-05
ce,4329923,0.00032239003720653655
ch,636422126,0.04738563546746746
ci,250450,1.8647579834185755e-05
ck,25567840,0.0019036867142650745
cl,1211775,9.022428050936492e-05
co,2954214,0.00021995983794078353
cr,421638,3.139360457626837e-05
ct,12509,9.313738316862831e-07
cu,178825,1.331464748991123e-05
da,125519874,0.00934574514350943
dd,150864,1.1232774941523656e-05
de,157431690,0.011721780825337525
dg,297012,2.2114413981677696e-05
dh,81386,6.059700269055867e-06
di,1037975389,0.07728380488040533
dk,31399,2.337853300912751e-06
dl,49839,3.710827436039065e-06
dm,113768,8.470744110902954e-06
dn,32164,2.394812368883013e-06
do,36062521,0.002685081810219606
dr,4971577,0.00037016521864364826
ds,443602,3.302896270554789e-05
dt,4738900,0.0003528409505938226
du,32786558,0.00244116573285351
dv,850846,6.335084332839934e-05
dw,24877,1.852249325354518e-06
dy,1056957,7.86971053655479e-05
dä,284248,2.1164053794001327e-05
dü,1053467,7.843725288552671e-05
ea,4700396,0.00034997408529561743
eb,23478382,0.001748113406757875
ec,21535166,0.0016034287371828417
ed,11061204,0.0008235763012665794
ee,6574083,0.0004894818829269849
ef,7097719,0.0005284698809866923
eg,24691701,0.0018384526477913524
eh,49827880,0.003709999482005301
ei,218694312,0.016283168865251857
ek,14853121,0.0011059084034111437
el,86997004,0.00647747485496098
em,23125992,0.0017218757519055345
en,329191673,0.02451039330411927
eo,1650374,0.00012288073835601708
ep,3438655,0.0002560295214003674
eq,49858,3.7122421057010713e-06
er,228439571,0.017008764773446376
es,25612516,0.0019070131238345378
et,55045420,0.004098478195074007
eu,56252224,0.004188332353326013
ev,2885056,0.00021481058928367585
ew,255213,1.9002215181561384e-05
ex,8511020,0.0006336990414068742
ey,220974,1.645290599432766e-05
ez,536085,3.991490451351356e-05
eß,713229,5.310439096648621e-05
fa,28120431,0.0020937431904340664
fe,34266277,0.0025513401316742787
ff,10296907,0.0007666695760738117
fg,16628,1.2380593231496934e-06
fi,12375927,0.0009214657087424835
fj,29367,2.1865581033760552e-06
fl,7397085,0.0005507595650938628
fn,420828,3.133329497488809e-05
fo,12792098,0.000952452260737584
fr,18611514,0.0013857444326215447
fs,12532,9.330863265402909e-07
ft,10442935,0.0007775422803582057
fu,2530511,0.00018841248110914444
fä,243645,1.8140904726293424e-05
fé,183585,1.3669059468392859e-05
fö,412604,3.0720966380133275e-05
fü,92728100,0.00690419104660555
ga,35120228,0.0026149221618079694
gd,229613,1.709613395275262e-05
ge,72049851,0.005364565176936268
gg,348205,2.5926055245209227e-05
gh,382714,2.849546763290304e-05
gi,2338425,0.00017411046865145068
gl,12193448,0.000907878997939679
gm,130730,9.733671837584763e-06
gn,2186739,0.00016281649063297076
go,5697617,0.00042422346924381687
gr,36101025,0.002687948675517811
gs,5718422,0.00042577253252371397
gt,162587,1.210562612298167e-05
gu,36001004,0.0026805014821355186
gy,44815,3.3367589948853448e-06
gä,19438,1.4472815205306555e-06
gö,94159,7.01073056341424e-06
gü,221594,1.6499068899087874e-05
ha,38534192,0.00286911328275441
hd,24264,1.806607614680308e-06
he,85899005,0.006395721914212902
hi,13669755,0.0010177993518716705
hl,25115964,0.0018700417001498717
hm,6325229,0.00047095313534440775
hn,16684391,0.0012422579882502306
ho,43062400,0.003206266887009945
hr,86553464,0.006444450508545908
hs,1580344,0.00011766656380705311
ht,138192677,0.010289315140177063
hu,9423879,0.0007016671431431688
hw,4315861,0.00032134303274405576
hy,554628,4.1295547647333905e-05
hä,2431858,0.00018106714394251666
hö,10588385,0.0007883719489023555
hü,2034471,0.0001514791790490546
ia,3339354,0.0002486359365526354
ib,4953540,0.0003688222503966161
ic,234076499,0.01742846956442085
id,8434781,0.0006280225677036261
ie,1135000774,0.08450795585956328
if,4755617,0.0003540856365274943
ig,13409875,0.0009984496491473416
ih,1924258,0.00014327312707754287
ii,57362,4.270962165895641e-06
ik,5471571,0.00040739292090603146
il,47598698,0.0035440228427163017
im,6840441,0.0005093139135497602
in,283069626,0.021076316428301472
io,2317423,0.00017254673748084748
ip,4713289,0.00035093405034573584
iq,101147,7.531031173840633e-06
ir,18517106,0.0013787151624399282
is,55920036,0.004163598864605875
it,186100873,0.013856382058211875
iu,182053,1.3554992419856335e-05
iv,4449916,0.00033132427177249164
iw,22565,1.6801063643777263e-06
ix,493918,3.6775305795733116e-05
iz,2377532,0.00017702223109735006
iß,3563495,0.00026532464564273014
iä,150492,1.1205077198667528e-05
iö,51082,3.8033766144534904e-06
ja,45550777,0.0033915422264591427
je,27330548,0.002034931426400662
jo,1069470,7.962877702242618e-05
ju,9103329,0.000677800176819159
jä,27689,2.061620435331481e-06
ka,19656753,0.0014635690590871246
ke,22814760,0.0016987025693662918
kh,49492,3.684991100632946e-06
ki,13014945,0.0009690446233780664
kk,428216,3.188337810451462e-05
kl,20560769,0.001530878743780202
