sfx,lemma,n_tokens_in_sample,juncture,junc_prob,junc_prob_token
schaft,Ärzteschaft,2,es,0.0049192390682315824,0.009838478136463165
nis,Bündnis,13,dn,0.0,0.0
heit,Christenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
nis,Eingeständnis,2,dn,0.0,0.0
heit,Einheit,24,nh,3.263117639229065e-06,7.831482334149756e-05
nis,Einverständnis,5,dn,0.0,0.0
heit,Einzelheit,2,lh,8.320778088960313e-06,1.6641556177920626e-05
heit,Feigheit,1,gh,0.00011102756986153833,0.00011102756986153833
schaft,Genossenschaft,11,ns,0.005648159418212446,0.06212975360033691
nis,Geständnis,3,dn,0.0,0.0
heit,Gewohnheit,4,nh,3.263117639229065e-06,1.305247055691626e-05
heit,Gottheit,3,th,0.00315676206875349,0.00947028620626047
heit,Hoheit,2,oh,0.0012121902288023427,0.0024243804576046853
schaft,Komplizenschaft,1,ns,0.005648159418212446,0.005648159418212446
heit,Mehrheit,10,rh,6.10900876295475e-05,0.0006109008762954749
heit,Menschheit,8,hh,0.0,0.0
nis,Missverständnis,13,dn,0.0,0.0
heit,Müdigkeit,1,gk,0.0,0.0
schaft,Patenschaft,5,ns,0.005648159418212446,0.028240797091062232
nis,Säumnis,1,mn,2.875675158877349e-05,2.875675158877349e-05
schaft,Studentenschaft,1,ns,0.005648159418212446,0.005648159418212446
heit,Trägheit,1,gh,0.00011102756986153833,0.00011102756986153833
nis,Missverhältnis,1,tn,0.0,0.0
nis,Verhängnis,1,gn,0.000609977977493766,0.000609977977493766
nis,Versäumnis,4,mn,2.875675158877349e-05,0.00011502700635509396
nis,Unverständnis,5,dn,0.0,0.0
nis,Verständnis,65,dn,0.0,0.0
heit,Weisheit,2,sh,0.00037139410464302844,0.0007427882092860569
heit,Wenigkeit,2,gk,0.0,0.0
schaft,Weiberwirtschaft,1,ts,0.0003651000785788168,0.0003651000785788168
nis,Zugeständnis,1,dn,0.0,0.0
schaft,Anwartschaft,1,ts,0.0003651000785788168,0.0003651000785788168
nis,Befugnis,7,gn,0.000609977977493766,0.004269845842456362
heit,Durchhörbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Gerichtsbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Reissfestigkeit,1,gk,0.0,0.0
nis,Zerwürfnis,1,fn,2.8682057103975514e-05,2.8682057103975514e-05
schaft,Obergesellschaft,1,ls,0.00034504351555827035,0.00034504351555827035
heit,Schnauzigkeit,1,gk,0.0,0.0
heit,Angelegenheit,9,nh,3.263117639229065e-06,2.9368058753061587e-05
schaft,Vorherrschaft,3,rs,0.0017554444668549775,0.0052663334005649326
heit,Geschicklichkeit,2,hk,0.0,0.0
heit,Bequemlichkeit,1,hk,0.0,0.0
heit,Vorgreiflichkeit,1,hk,0.0,0.0
heit,Gepflogenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
heit,Annehmlichkeit,1,hk,0.0,0.0
heit,Begebenheit,3,nh,3.263117639229065e-06,9.789352917687194e-06
heit,Beziehungslosigkeit,1,gk,0.0,0.0
heit,Ungereimtheit,1,th,0.00315676206875349,0.00315676206875349
heit,Verarbeitbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Betriebsamkeit,1,mk,0.0,0.0
heit,Erregbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Begehrlichkeit,1,hk,0.0,0.0
schaft,Nacherbschaft,1,bs,0.00020405720670823863,0.00020405720670823863
schaft,Mitleidenschaft,1,ns,0.005648159418212446,0.005648159418212446
heit,Hartherzigkeit,1,gk,0.0,0.0
heit,Unstimmigkeit,1,gk,0.0,0.0
heit,Gottverlassenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
heit,Großherzigkeit,1,gk,0.0,0.0
heit,Zahlungsfähigkeit,1,gk,0.0,0.0
heit,Ordnungswidrigkeit,1,gk,0.0,0.0
heit,Straflosigkeit,1,gk,0.0,0.0
heit,Fettleibigkeit,1,gk,0.0,0.0
heit,Ruchlosigkeit,1,gk,0.0,0.0
heit,Nachgiebigkeit,1,gk,0.0,0.0
heit,Sprachigkeit,1,gk,0.0,0.0
nis,Bedrängnis,3,gn,0.000609977977493766,0.001829933932481298
heit,Verhaltensauffälligkeit,1,gk,0.0,0.0
heit,Berufsunfähigkeit,1,gk,0.0,0.0
nis,Ereignis,60,gn,0.000609977977493766,0.03659867864962596
heit,Wiederverwendbarkeit,1,rk,0.0020318096851983654,0.0020318096851983654
heit,Zweckmässigkeit,1,gk,0.0,0.0
heit,Gesetzmäßigkeit,2,gk,0.0,0.0
schaft,Gemeinschaft,70,ns,0.005648159418212446,0.39537115927487126
heit,Unverträglichkeit,1,hk,0.0,0.0
heit,Unachtsamkeit,1,mk,0.0,0.0
heit,Benommenheit,1,nh,3.263117639229065e-06,3.263117639229065e-06
nis,Gleichnis,2,hn,0.0017280850334316091,0.0034561700668632182
schaft,Errungenschaft,7,ns,0.005648159418212446,0.039537115927487126
