lemma,POS,freq
die,ART,941206475
die,PRELS,72387212
die,PRELAT,2206427
und,KON,324149767
in,APPR,175083973
mit,APPR,111138306
mit,PTKVZ,3000223
nicht,PTKNEG,105170862
von,APPR,104334677
für,APPR,90492906
auch,ADV,90295534
auf,APPR,82292572
auf,PTKVZ,6261301
sich,PRF,77075617
zu,PTKZU,70231353
zu,APPR,39421415
zu,PTKVZ,3567447
dass,KOUS,52074870
bei,APPR,51643670
bei,PTKVZ,800430
so,ADV,49246793
oder,KON,47391227
als,KOKOM,45628175
als,KOUS,6616777
als,KON,488101
an,APPR,42372310
an,PTKVZ,10102948
an,APZR,944713
noch,ADV,41848954
noch,KON,588213
nur,ADV,39207331
nach,APPR,36273066
nach,PTKVZ,1508514
nach,APPO,566501
wenn,KOUS,35876480
aus,APPR,33759577
aus,PTKVZ,8825581
aus,APZR,492801
dann,ADV,31656672
über,APPR,29330192
über,PTKVZ,349791
wie,KOKOM,26851140
wie,KOUS,20334051
wie,PWAV,569250
schon,ADV,25556133
aber,KON,23734874
werden,VAINF,23610739
werden,VVINF,19705
Jahr,NN,23555267
durch,APPR,23303546
durch,PTKVZ,1225069
um,APPR,22286034
um,KOUI,10478740
um,PTKVZ,1083908
vor,APPR,19704445
vor,PTKVZ,3922074
mehr,ADV,19292262
ich,PRF,19165725
da,ADV,18867433
da,KOUS,9355158
da,PTKVZ,1127264
ja,ADV,18860105
ja,PTKANT,1958486
gut,ADJD,18731866
gut,ADJA,13967169
sehr,ADV,18512092
neu,ADJA,18181617
neu,ADJD,2875692
sein,VAINF,16482023
sein,VVINF,243787
sein,PPOSS,10495
jetzt,ADV,14644203
groß,ADJA,14171946
groß,ADJD,2394040
unter,APPR,13509259
unter,PTKVZ,210827
also,ADV,13454321
was,PWS,13303924
was,PRELS,11062737
doch,ADV,12639055
doch,KON,5478053
ganz,ADV,11787214
ganz,ADJA,5625819
ganz,ADJD,258522
Zeit,NN,11707865
nun,ADV,11075562
nun,KOUS,30873
bis,KON,10339074
bis,APPR,7002446
bis,KOUS,1661759
Mensch,NN,10308206
gegen,APPR,9838240
gegen,PTKVZ,46146
Tag,NN,9658088
weil,KOUS,9251011
selbst,ADV,9164073
selbst,PTKVZ,62409
heute,ADV,9009601
klein,ADJA,8872547
klein,ADJD,1029526
wer,PWS,8785300
ohne,APPR,8755971
ohne,KOUI,1492912
Kind,NN,8488171
weit,ADJA,8455584
weit,ADJD,2759068
denn,KON,8424832
denn,ADV,4086489
ob,KOUS,8203135
ob,ADV,536131
ob,APPR,517489
sondern,KON,8145396
seit,APPR,8131484
seit,KOUS,353059
wo,PWAV,8080370
Seite,NN,7836093
etwas,ADV,7670335
letzt,ADJA,7498501
letzt,ADJD,81893
letzt,NN,41223
sowie,KON,7325033
deutsch,ADJA,7281441
deutsch,NN,486922
deutsch,ADJD,335707
zwischen,APPR,7131826
zwischen,PTKVZ,25378
eigen,ADJA,7088476
eigen,ADJD,90878
dort,ADV,6799539
dort,PTKVZ,21168
wohl,ADV,6665167
wohl,ADJD,24462
vielleicht,ADV,6551271
Frau,NN,6534440
machen,VVINF,6503072
Problem,NN,6458394
Bild,NN,6420588
Thema,NN,6341199
alt,ADJA,6169581
alt,ADJD,1516072
haben,VAINF,6019925
haben,VVINF,209244
ein,PTKVZ,5951851
Leben,NN,5930276
Uhr,NN,5768548
wir,PRF,5561742
hoch,ADJA,5555271
hoch,ADJD,2298210
hoch,PTKVZ,393658
allerdings,ADV,5551551
welche,PRELS,5536990
welche,PWAT,2060815
welche,PWS,820238
jedoch,ADV,5457246
jedoch,KON,47355
nah,ADJA,5357468
nah,ADJD,932521
nah,APPR,17746
können,VMINF,5329384
können,VVINF,25251
können,VAINF,17776
Teil,NN,5163186
gar,ADV,5144008
zwar,ADV,5062577
Euro,NN,5000356
Woche,NN,4959347
Land,NN,4950507
Spiel,NN,4896172
Ende,NN,4827212
Welt,NN,4819523
ab,PTKVZ,4787547
ab,APPR,3981769
fast,ADV,4752518
Fall,NN,4746043
Stadt,NN,4738900
Haus,NN,4575120
warum,PWAV,4388938
sogar,ADV,4305014
lassen,VVINF,4291360
Mann,NN,4288435
etwa,ADV,4058256
nie,ADV,4036363
schön,ADJA,4031390
schön,ADJD,3261272
schön,PTKVZ,31962
oft,ADV,4029453
Art,NN,4012969
Arbeit,NN,3994400
Buch,NN,3987861
neben,APPR,3853755
Leute,NN,3849975
sagen,VVINF,3784364
spät,ADJD,3772448
spät,ADJA,828730
gleich,ADJD,3705917
gleich,ADJA,2593914
gleich,APPR,313240
gleich,PTKVZ,96857
Monat,NN,3653059
eben,ADV,3611787
eben,ADJA,67769
wegen,APPR,3607451
wegen,APPO,109915
wegen,APZR,10239
Platz,NN,3601391
sehen,VVINF,3572184
lang,ADJA,3554426
