sfx,iter,factor,sample_size,n_types,entropy
-age,1,1.0,1403,14,1.9018441756530904
-age,1,0.5,702,12,1.8616521898586327
-age,1,0.25,351,11,1.810136472061219
-age,1,0.125,176,9,2.080598498049591
-age,1,0.0625,88,8,1.7759868027716166
-age,2,1.0,1403,14,1.9018441756530904
-age,2,0.5,702,13,1.9066200921164287
-age,2,0.25,351,10,1.88804370598864
-age,2,0.125,176,7,1.6709018904854065
-age,2,0.0625,88,7,1.7486136848875957
-age,3,1.0,1403,14,1.9018441756530904
-age,3,0.5,702,11,1.9648355360043814
-age,3,0.25,351,11,2.028060790951977
-age,3,0.125,176,9,1.6960361133451651
-age,3,0.0625,88,7,1.8552338096183387
-age,4,1.0,1403,14,1.9018441756530904
-age,4,0.5,702,13,1.9268481597176021
-age,4,0.25,351,10,1.8526867482361036
-age,4,0.125,176,8,1.8262073574561404
-age,4,0.0625,88,7,1.8266583274445303
-age,5,1.0,1403,14,1.9018441756530904
-age,5,0.5,702,12,1.8941087898130946
-age,5,0.25,351,11,1.9849427498995202
-age,5,0.125,176,9,1.8732368494162257
-age,5,0.0625,88,8,1.8383184249833966
-age,6,1.0,1403,14,1.9018441756530904
-age,6,0.5,702,12,1.9171120005446127
-age,6,0.25,351,10,1.9122242667807128
-age,6,0.125,176,8,1.8085702479090515
-age,6,0.0625,88,7,1.7782393740992721
-age,7,1.0,1403,14,1.9018441756530904
-age,7,0.5,702,9,1.918256072756007
-age,7,0.25,351,10,1.8731850666216086
-age,7,0.125,176,9,1.9965758636726634
-age,7,0.0625,88,8,1.8678700575156946
-age,8,1.0,1403,14,1.9018441756530904
-age,8,0.5,702,13,1.9329597938480156
-age,8,0.25,351,10,1.9458946458669146
-age,8,0.125,176,11,1.9217790024021701
-age,8,0.0625,88,7,1.7814812528493262
-age,9,1.0,1403,14,1.9018441756530904
-age,9,0.5,702,11,1.8569725526549012
-age,9,0.25,351,10,1.9861089266474932
-age,9,0.125,176,10,2.0299916570149006
-age,9,0.0625,88,8,1.972580179892451
-age,10,1.0,1403,14,1.9018441756530904
-age,10,0.5,702,12,1.9130003167119467
-age,10,0.25,351,10,1.7854392765132385
-age,10,0.125,176,10,1.8776884128884865
-age,10,0.0625,88,8,1.7854899632721022
-age,11,1.0,1403,14,1.9018441756530904
-age,11,0.5,702,11,1.871948665224893
-age,11,0.25,351,10,1.8097578673052732
-age,11,0.125,176,8,1.798335403871551
-age,11,0.0625,88,8,1.8660696236656564
-age,12,1.0,1403,14,1.9018441756530904
-age,12,0.5,702,11,1.8489893258731975
-age,12,0.25,351,11,1.9289487180151461
-age,12,0.125,176,8,1.9325018705859611
-age,12,0.0625,88,7,1.9117045189066892
-age,13,1.0,1403,14,1.9018441756530904
-age,13,0.5,702,11,1.9199399247623143
-age,13,0.25,351,11,1.8033017857944016
-age,13,0.125,176,8,1.7961467781391325
-age,13,0.0625,88,7,1.6191632626746144
-age,14,1.0,1403,14,1.9018441756530904
-age,14,0.5,702,11,1.9322660818840667
-age,14,0.25,351,10,1.8235674859515714
-age,14,0.125,176,10,1.8923735855199224
-age,14,0.0625,88,10,2.1491245033151016
-age,15,1.0,1403,14,1.9018441756530904
-age,15,0.5,702,11,1.9073416063035933
-age,15,0.25,351,11,1.9421099044595114
-age,15,0.125,176,10,1.9734305137084365
-age,15,0.0625,88,9,1.9497798199353498
-age,16,1.0,1403,14,1.9018441756530904
-age,16,0.5,702,13,1.894667855486653
-age,16,0.25,351,11,1.8504312744896418
-age,16,0.125,176,9,1.7586422901183199
-age,16,0.0625,88,9,1.966316895908789
-age,17,1.0,1403,14,1.9018441756530904
-age,17,0.5,702,13,1.8760293310686131
-age,17,0.25,351,11,1.84621435618414
-age,17,0.125,176,7,1.895544136619907
-age,17,0.0625,88,8,1.8263759159883848
-age,18,1.0,1403,14,1.9018441756530904
-age,18,0.5,702,13,1.852592859887489
-age,18,0.25,351,11,1.9659743504454805
-age,18,0.125,176,8,1.7685924042374253
-age,18,0.0625,88,9,2.048627964972776
-age,19,1.0,1403,14,1.9018441756530904
-age,19,0.5,702,10,1.9179818874605694
-age,19,0.25,351,12,1.9016878626317935
-age,19,0.125,176,10,1.9389109977750818
-age,19,0.0625,88,7,1.7411702527051685
-age,20,1.0,1403,14,1.9018441756530904
-age,20,0.5,702,13,1.8848889785821943
-age,20,0.25,351,10,1.9338134272621654
-age,20,0.125,176,9,1.8408467060865077
-age,20,0.0625,88,8,1.8640340946217544
-age,21,1.0,1403,14,1.9018441756530904
-age,21,0.5,702,13,1.8797243817654639
-age,21,0.25,351,11,1.8554486563428028
-age,21,0.125,176,9,1.8910224174737784
-age,21,0.0625,88,7,1.8774759718230802
-age,22,1.0,1403,14,1.9018441756530904
-age,22,0.5,702,13,1.9066777051133659
-age,22,0.25,351,9,1.8996285938770856
-age,22,0.125,176,8,1.9163926603064154
-age,22,0.0625,88,8,1.9112421638238355
-age,23,1.0,1403,14,1.9018441756530904
-age,23,0.5,702,12,1.839432702781455
-age,23,0.25,351,11,1.9225084965045711
-age,23,0.125,176,8,1.9487055312193602
-age,23,0.0625,88,6,1.5480501185659685
-age,24,1.0,1403,14,1.9018441756530904
-age,24,0.5,702,12,1.8728331656782349
-age,24,0.25,351,10,1.8810270823783803
-age,24,0.125,176,9,1.836442623736214
-age,24,0.0625,88,7,1.8870549076781507
-age,25,1.0,1403,14,1.9018441756530904
-age,25,0.5,702,11,1.8037957970244165
-age,25,0.25,351,10,1.860186032284861
-age,25,0.125,176,10,1.973442057610415
-age,25,0.0625,88,8,1.8116716857996336
-age,26,1.0,1403,14,1.9018441756530904
-age,26,0.5,702,11,1.8611814553868526
-age,26,0.25,351,11,1.8159667696486357
-age,26,0.125,176,9,1.7429520517347268
-age,26,0.0625,88,6,1.7993425667212963
-age,27,1.0,1403,14,1.9018441756530904
-age,27,0.5,702,12,1.9089285340124955
-age,27,0.25,351,9,1.8019916297607512
-age,27,0.125,176,8,1.897013176070997
-age,27,0.0625,88,9,1.7855206482356367
-age,28,1.0,1403,14,1.9018441756530904
-age,28,0.5,702,12,1.8138006517820224
-age,28,0.25,351,9,1.7703610286174367
-age,28,0.125,176,9,1.8476996896813151
-age,28,0.0625,88,9,1.8203065133385494
-age,29,1.0,1403,14,1.9018441756530904
-age,29,0.5,702,11,1.887977193970417
-age,29,0.25,351,9,1.8802124809015408
-age,29,0.125,176,9,1.8913960689815725
-age,29,0.0625,88,6,1.7910173676730097
-age,30,1.0,1403,14,1.9018441756530904
-age,30,0.5,702,13,1.9189020713064158
-age,30,0.25,351,10,1.922978130487055
-age,30,0.125,176,11,1.944983979617056
-age,30,0.0625,88,7,1.9139203741309914
-age,31,1.0,1403,14,1.9018441756530904
-age,31,0.5,702,13,1.9452785642797452
-age,31,0.25,351,10,1.9163562036600439
-age,31,0.125,176,9,1.5498888902393169
-age,31,0.0625,88,6,1.6530583985969967
-age,32,1.0,1403,14,1.9018441756530904
-age,32,0.5,702,11,1.9119082297672894
-age,32,0.25,351,10,1.9143397702619571
-age,32,0.125,176,8,1.6737282077067483
-age,32,0.0625,88,7,1.7298184838488548
-age,33,1.0,1403,14,1.9018441756530904
-age,33,0.5,702,10,1.8438154376156137
-age,33,0.25,351,12,1.8165531606379597
-age,33,0.125,176,8,1.7772917860356723
-age,33,0.0625,88,9,1.5837772256698637
-age,34,1.0,1403,14,1.9018441756530904
-age,34,0.5,702,12,1.9106740694724795
-age,34,0.25,351,10,1.8288894799326185
-age,34,0.125,176,9,1.9947611746795706
-age,34,0.0625,88,8,1.8099211994244362
-age,35,1.0,1403,14,1.9018441756530904
-age,35,0.5,702,12,1.9219754109601501
-age,35,0.25,351,11,1.96446192153371
-age,35,0.125,176,9,1.8847530819751406
-age,35,0.0625,88,9,1.8429772255969454
-age,36,1.0,1403,14,1.9018441756530904
-age,36,0.5,702,11,1.8103513850422581
-age,36,0.25,351,11,1.8694699953465674
-age,36,0.125,176,9,1.9097694709877546
-age,36,0.0625,88,7,1.966077981082913
-age,37,1.0,1403,14,1.9018441756530904
-age,37,0.5,702,12,1.8981068510542531
-age,37,0.25,351,10,1.9016076204180168
-age,37,0.125,176,9,1.9747121187606103
-age,37,0.0625,88,8,1.8763557199949066
-age,38,1.0,1403,14,1.9018441756530904
-age,38,0.5,702,11,1.888322162596309
-age,38,0.25,351,8,1.8697499888036668
-age,38,0.125,176,8,1.7177623020887498
-age,38,0.0625,88,8,1.9096946915404638
-age,39,1.0,1403,14,1.9018441756530904
-age,39,0.5,702,11,1.8676927235726062
-age,39,0.25,351,11,1.904421520606529
-age,39,0.125,176,10,1.8479402861981593
-age,39,0.0625,88,8,1.9578008592024578
-age,40,1.0,1403,14,1.9018441756530904
-age,40,0.5,702,12,1.9079599968777896
-age,40,0.25,351,9,1.9143821610561158
-age,40,0.125,176,9,1.7103323443907659
-age,40,0.0625,88,7,1.7565040383874364
-age,41,1.0,1403,14,1.9018441756530904
-age,41,0.5,702,11,1.9044253306224348
-age,41,0.25,351,8,1.843635637395864
-age,41,0.125,176,11,2.182391914250078
-age,41,0.0625,88,8,1.9781570551909924
-age,42,1.0,1403,14,1.9018441756530904
-age,42,0.5,702,12,1.9759803332618506
-age,42,0.25,351,10,1.7889719778003077
-age,42,0.125,176,10,1.9555344811120183
-age,42,0.0625,88,7,1.8320360094279735
-age,43,1.0,1403,14,1.9018441756530904
