sfx,iter,factor,sample_size,n_types,entropy
-age,1,1.0,1403,12,1.938233966792555
-age,1,0.5,702,12,1.8520338474365128
-age,1,0.25,351,9,1.8326227446346042
-age,1,0.125,176,7,1.899395639005103
-age,1,0.0625,88,7,1.808931009467591
-age,2,1.0,1403,12,1.9080012426371238
-age,2,0.5,702,12,1.9293735633518594
-age,2,0.25,351,12,1.8983007678116244
-age,2,0.125,176,8,1.8034800847288677
-age,2,0.0625,88,7,1.8510701976124673
-age,3,1.0,1403,14,1.895501240645265
-age,3,0.5,702,11,1.874525869484378
-age,3,0.25,351,10,1.9436057189709823
-age,3,0.125,176,8,1.6774857193834922
-age,3,0.0625,88,7,1.9316953059155906
-age,4,1.0,1403,11,1.8328339489234438
-age,4,0.5,702,11,1.9024451477634692
-age,4,0.25,351,10,1.919405060035596
-age,4,0.125,176,9,1.714512115033922
-age,4,0.0625,88,7,1.9031309086266086
-age,5,1.0,1403,14,1.9132884470793794
-age,5,0.5,702,13,1.9569349187870146
-age,5,0.25,351,12,1.9797446877242524
-age,5,0.125,176,9,1.9228259679876276
-age,5,0.0625,88,5,1.5452455055097647
-age,6,1.0,1403,12,1.884437234630784
-age,6,0.5,702,12,1.8093550367288787
-age,6,0.25,351,10,1.7824881847832097
-age,6,0.125,176,10,1.8436511526631392
-age,6,0.0625,88,8,1.8152294845891666
-age,7,1.0,1403,13,1.9582839721186558
-age,7,0.5,702,11,1.8459986894048548
-age,7,0.25,351,10,1.8669839160138955
-age,7,0.125,176,8,1.6748398617060072
-age,7,0.0625,88,7,1.7541844234747896
-age,8,1.0,1403,13,1.9247805088169652
-age,8,0.5,702,12,1.9218623481490373
-age,8,0.25,351,10,1.9451824747579456
-age,8,0.125,176,9,1.9157510516174
-age,8,0.0625,88,9,2.076555718612771
-age,9,1.0,1403,13,1.9044182828137144
-age,9,0.5,702,12,1.9344884097922703
-age,9,0.25,351,10,1.7531578123162814
-age,9,0.125,176,9,1.8115700227367777
-age,9,0.0625,88,6,1.5076788051033316
-age,10,1.0,1403,12,1.8729366976388138
-age,10,0.5,702,12,2.0062083837921882
-age,10,0.25,351,9,1.8295018694536667
-age,10,0.125,176,7,1.6983512958141858
-age,10,0.0625,88,6,1.8202201125594561
-age,11,1.0,1403,11,1.8946187185559125
-age,11,0.5,702,13,1.9577972641096504
-age,11,0.25,351,7,1.854870639661695
-age,11,0.125,176,10,2.0390136289667353
-age,11,0.0625,88,8,1.8402365492649033
-age,12,1.0,1403,12,1.8748494584068678
-age,12,0.5,702,10,1.7886592023685806
-age,12,0.25,351,10,1.8029084400876574
-age,12,0.125,176,9,1.7547516273244428
-age,12,0.0625,88,9,1.9811858117455856
-age,13,1.0,1403,12,1.8006990441853983
-age,13,0.5,702,12,1.833194950463248
-age,13,0.25,351,11,1.9782929250662444
-age,13,0.125,176,7,1.7114244402909573
-age,13,0.0625,88,6,1.7288244247174906
-age,14,1.0,1403,14,1.9654739948558329
-age,14,0.5,702,10,1.8606521826479274
-age,14,0.25,351,11,1.9146104990844561
-age,14,0.125,176,11,1.8123311046704635
-age,14,0.0625,88,7,1.7499352260734582
-age,15,1.0,1403,13,1.887319070781279
-age,15,0.5,702,10,1.8203476603307696
