sfx,iter,period,factor,sample_size,n_types,entropy
er,1,1482-1549,1.0,57,33,4.612477333299178
er,1,1482-1549,0.5,29,18,3.8798938235206655
er,1,1482-1549,0.25,15,11,3.323231428797621
er,1,1482-1549,0.125,8,8,3.0
er,1,1482-1549,0.0625,4,2,1.0
er,2,1482-1549,1.0,57,33,4.612477333299178
er,2,1482-1549,0.5,29,18,3.8833374604210054
er,2,1482-1549,0.25,15,13,3.640223928941852
er,2,1482-1549,0.125,8,6,2.5
er,2,1482-1549,0.0625,4,4,2.0
er,3,1482-1549,1.0,57,33,4.612477333299178
er,3,1482-1549,0.5,29,19,4.017824858003423
er,3,1482-1549,0.25,15,14,3.773557262275186
er,3,1482-1549,0.125,8,8,3.0
er,3,1482-1549,0.0625,4,4,2.0
er,4,1482-1549,1.0,57,33,4.612477333299178
er,4,1482-1549,0.5,29,19,3.8784509276597543
er,4,1482-1549,0.25,15,11,3.3735572622751855
er,4,1482-1549,0.125,8,6,2.5
er,4,1482-1549,0.0625,4,4,2.0
er,5,1482-1549,1.0,57,33,4.612477333299178
er,5,1482-1549,0.5,29,21,4.155755892486182
er,5,1482-1549,0.25,15,9,2.5967916319816364
er,5,1482-1549,0.125,8,7,2.75
er,5,1482-1549,0.0625,4,4,2.0
er,6,1482-1549,1.0,57,33,4.612477333299178
er,6,1482-1549,0.5,29,18,3.783454806895497
er,6,1482-1549,0.25,15,12,3.3735572622751855
er,6,1482-1549,0.125,8,8,3.0
er,6,1482-1549,0.0625,4,3,1.5
er,7,1482-1549,1.0,57,33,4.612477333299178
er,7,1482-1549,0.5,29,23,4.180343600148149
er,7,1482-1549,0.25,15,12,3.3735572622751855
er,7,1482-1549,0.125,8,7,2.75
er,7,1482-1549,0.0625,4,4,2.0
er,8,1482-1549,1.0,57,33,4.612477333299178
er,8,1482-1549,0.5,29,22,4.349191770915037
er,8,1482-1549,0.25,15,12,3.456564762130954
er,8,1482-1549,0.125,8,6,2.5
er,8,1482-1549,0.0625,4,4,2.0
er,9,1482-1549,1.0,57,33,4.612477333299178
er,9,1482-1549,0.5,29,20,4.086790375244802
er,9,1482-1549,0.25,15,12,3.456564762130954
er,9,1482-1549,0.125,8,8,3.0
er,9,1482-1549,0.0625,4,4,2.0
er,10,1482-1549,1.0,57,33,4.612477333299178
er,10,1482-1549,0.5,29,25,4.457648564974578
er,10,1482-1549,0.25,15,12,3.506890595608519
er,10,1482-1549,0.125,8,7,2.75
er,10,1482-1549,0.0625,4,4,2.0
er,11,1482-1549,1.0,57,33,4.612477333299178
er,11,1482-1549,0.5,29,19,3.904481531182632
er,11,1482-1549,0.25,15,11,3.3735572622751855
er,11,1482-1549,0.125,8,8,3.0
er,11,1482-1549,0.0625,4,4,2.0
er,12,1482-1549,1.0,57,33,4.612477333299178
er,12,1482-1549,0.5,29,22,4.185230132909401
er,12,1482-1549,0.25,15,9,2.9232314287976213
er,12,1482-1549,0.125,8,7,2.75
er,12,1482-1549,0.0625,4,4,2.0
er,13,1482-1549,1.0,57,33,4.612477333299178
er,13,1482-1549,0.5,29,22,4.11137808290677
er,13,1482-1549,0.25,15,12,3.456564762130954
er,13,1482-1549,0.125,8,7,2.75
er,13,1482-1549,0.0625,4,4,2.0
er,14,1482-1549,1.0,57,33,4.612477333299178
er,14,1482-1549,0.5,29,21,4.181786496009059
er,14,1482-1549,0.25,15,12,3.3735572622751855
er,14,1482-1549,0.125,8,7,2.75
er,14,1482-1549,0.0625,4,4,2.0
er,15,1482-1549,1.0,57,33,4.612477333299178
er,15,1482-1549,0.5,29,20,3.9734470484240116
er,15,1482-1549,0.25,15,11,3.3735572622751855
er,15,1482-1549,0.125,8,7,2.75
er,15,1482-1549,0.0625,4,4,2.0
er,16,1482-1549,1.0,57,33,4.612477333299178
er,16,1482-1549,0.5,29,21,4.042412565665391
er,16,1482-1549,0.25,15,11,3.323231428797621
er,16,1482-1549,0.125,8,7,2.75
er,16,1482-1549,0.0625,4,4,2.0
er,17,1482-1549,1.0,57,33,4.612477333299178
er,17,1482-1549,0.5,29,20,4.086790375244802
er,17,1482-1549,0.25,15,12,3.456564762130954
er,17,1482-1549,0.125,8,7,2.75
er,17,1482-1549,0.0625,4,3,1.5
er,18,1482-1549,1.0,57,33,4.612477333299178
er,18,1482-1549,0.5,29,21,4.237291339955156
er,18,1482-1549,0.25,15,14,3.773557262275186
er,18,1482-1549,0.125,8,8,3.0
er,18,1482-1549,0.0625,4,3,1.5
er,19,1482-1549,1.0,57,33,4.612477333299178
er,19,1482-1549,0.5,29,19,4.07332970194952
er,19,1482-1549,0.25,15,11,3.323231428797621
er,19,1482-1549,0.125,8,7,2.75
er,19,1482-1549,0.0625,4,4,2.0
er,20,1482-1549,1.0,57,33,4.612477333299178
er,20,1482-1549,0.5,29,22,4.306256857196535
er,20,1482-1549,0.25,15,14,3.773557262275186
er,20,1482-1549,0.125,8,6,2.4056390622295667
er,20,1482-1549,0.0625,4,4,2.0
er,21,1482-1549,1.0,57,33,4.612477333299178
er,21,1482-1549,0.5,29,20,4.047299098426642
er,21,1482-1549,0.25,15,11,3.240223928941852
er,21,1482-1549,0.125,8,7,2.75
er,21,1482-1549,0.0625,4,4,2.0
er,22,1482-1549,1.0,57,33,4.612477333299178
er,22,1482-1549,0.5,29,19,4.07332970194952
er,22,1482-1549,0.25,15,10,3.056564762130954
er,22,1482-1549,0.125,8,7,2.75
er,22,1482-1549,0.0625,4,4,2.0
er,23,1482-1549,1.0,57,33,4.612477333299178
er,23,1482-1549,0.5,29,19,4.07332970194952
er,23,1482-1549,0.25,15,12,3.456564762130954
er,23,1482-1549,0.125,8,8,3.0
er,23,1482-1549,0.0625,4,4,2.0
er,24,1482-1549,1.0,57,33,4.612477333299178
er,24,1482-1549,0.5,29,18,3.835516013941253
er,24,1482-1549,0.25,15,11,3.240223928941852
er,24,1482-1549,0.125,8,6,2.4056390622295667
er,24,1482-1549,0.0625,4,4,2.0
er,25,1482-1549,1.0,57,33,4.612477333299178
er,25,1482-1549,0.5,29,19,3.9748899442849224
er,25,1482-1549,0.25,15,11,3.323231428797621
er,25,1482-1549,0.125,8,8,3.0
er,25,1482-1549,0.0625,4,4,2.0
er,26,1482-1549,1.0,57,33,4.612477333299178
er,26,1482-1549,0.5,29,19,3.9783335811852627
er,26,1482-1549,0.25,15,12,3.3735572622751855
er,26,1482-1549,0.125,8,7,2.75
er,26,1482-1549,0.0625,4,4,2.0
er,27,1482-1549,1.0,57,33,4.612477333299178
er,27,1482-1549,0.5,29,23,4.375222374437915
er,27,1482-1549,0.25,15,13,3.640223928941852
er,27,1482-1549,0.125,8,6,2.4056390622295667
er,27,1482-1549,0.0625,4,4,2.0
er,28,1482-1549,1.0,57,33,4.612477333299178
er,28,1482-1549,0.5,29,19,3.9783335811852627
er,28,1482-1549,0.25,15,9,2.9735572622751856
er,28,1482-1549,0.125,8,7,2.75
er,28,1482-1549,0.0625,4,4,2.0
er,29,1482-1549,1.0,57,33,4.612477333299178
er,29,1482-1549,0.5,29,22,4.250752013250438
er,29,1482-1549,0.25,15,10,3.1068905956085193
er,29,1482-1549,0.125,8,7,2.75
er,29,1482-1549,0.0625,4,4,2.0
er,30,1482-1549,1.0,57,33,4.612477333299178
er,30,1482-1549,0.5,29,20,3.9474164449011333
er,30,1482-1549,0.25,15,15,3.9068905956085187
er,30,1482-1549,0.125,8,7,2.75
er,30,1482-1549,0.0625,4,4,2.0
er,31,1482-1549,1.0,57,33,4.612477333299178
er,31,1482-1549,0.5,29,20,4.116264615668022
er,31,1482-1549,0.25,15,13,3.5898980954642874
er,31,1482-1549,0.125,8,7,2.75
er,31,1482-1549,0.0625,4,4,2.0
er,32,1482-1549,1.0,57,33,4.612477333299178
er,32,1482-1549,0.5,29,20,3.9734470484240116
er,32,1482-1549,0.25,15,11,3.2729055953200565
er,32,1482-1549,0.125,8,6,2.5
er,32,1482-1549,0.0625,4,4,2.0
er,33,1482-1549,1.0,57,33,4.612477333299178
er,33,1482-1549,0.5,29,19,4.043855461526302
er,33,1482-1549,0.25,15,12,3.456564762130954
er,33,1482-1549,0.125,8,7,2.75
er,33,1482-1549,0.0625,4,4,2.0
er,34,1482-1549,1.0,57,33,4.612477333299178
er,34,1482-1549,0.5,29,18,3.8094854104183753
er,34,1482-1549,0.25,15,12,3.506890595608519
er,34,1482-1549,0.125,8,6,2.4056390622295667
er,34,1482-1549,0.0625,4,4,2.0
er,35,1482-1549,1.0,57,33,4.612477333299178
er,35,1482-1549,0.5,29,21,4.090234012145142
er,35,1482-1549,0.25,15,13,3.640223928941852
er,35,1482-1549,0.125,8,3,1.061278124459133
er,35,1482-1549,0.0625,4,4,2.0
er,36,1482-1549,1.0,57,33,4.612477333299178
er,36,1482-1549,0.5,29,21,4.181786496009059
er,36,1482-1549,0.25,15,12,3.456564762130954
er,36,1482-1549,0.125,8,8,3.0
er,36,1482-1549,0.0625,4,4,2.0
er,37,1482-1549,1.0,57,33,4.612477333299178
er,37,1482-1549,0.5,29,21,4.155755892486182
er,37,1482-1549,0.25,15,11,3.323231428797621
er,37,1482-1549,0.125,8,7,2.75
er,37,1482-1549,0.0625,4,4,2.0
er,38,1482-1549,1.0,57,33,4.612477333299178
er,38,1482-1549,0.5,29,20,4.021268494903763
er,38,1482-1549,0.25,15,13,3.640223928941852
er,38,1482-1549,0.125,8,6,2.4056390622295667
er,38,1482-1549,0.0625,4,4,2.0
er,39,1482-1549,1.0,57,33,4.612477333299178
er,39,1482-1549,0.5,29,20,3.9474164449011333
er,39,1482-1549,0.25,15,12,3.456564762130954
er,39,1482-1549,0.125,8,6,2.5
