sfx,iter,period,factor,sample_size,n_types,entropy
er,1,1482-1549,1.0,57,25,4.341772146450865
er,1,1482-1549,0.5,29,17,3.7714370294611252
er,1,1482-1549,0.25,15,8,2.8225797618424915
er,1,1482-1549,0.125,8,6,2.5
er,1,1482-1549,0.0625,4,3,1.5
er,2,1482-1549,1.0,57,21,3.7370823518438154
er,2,1482-1549,0.5,29,19,4.116264615668022
er,2,1482-1549,0.25,15,9,2.866247897312731
er,2,1482-1549,0.125,8,8,3.0
er,2,1482-1549,0.0625,4,4,2.0
er,3,1482-1549,1.0,57,24,4.050031962536994
er,3,1482-1549,0.5,29,20,4.168325822713777
er,3,1482-1549,0.25,15,11,3.323231428797621
er,3,1482-1549,0.125,8,7,2.75
er,3,1482-1549,0.0625,4,4,2.0
er,4,1482-1549,1.0,57,22,4.034583111287236
er,4,1482-1549,0.5,29,16,3.676440908696869
er,4,1482-1549,0.25,15,12,3.506890595608519
er,4,1482-1549,0.125,8,6,2.5
er,4,1482-1549,0.0625,4,3,1.5
er,5,1482-1549,1.0,57,27,4.450539355928406
er,5,1482-1549,0.5,29,16,3.5731146182710187
er,5,1482-1549,0.25,15,12,3.506890595608519
er,5,1482-1549,0.125,8,7,2.75
er,5,1482-1549,0.0625,4,4,2.0
er,6,1482-1549,1.0,57,23,4.22892647091526
er,6,1482-1549,0.5,29,21,4.211260736432279
er,6,1482-1549,0.25,15,10,3.056564762130954
er,6,1482-1549,0.125,8,6,2.5
er,6,1482-1549,0.0625,4,4,2.0
er,7,1482-1549,1.0,57,23,3.7860297604268993
er,7,1482-1549,0.5,29,17,3.740519893176996
er,7,1482-1549,0.25,15,11,3.323231428797621
er,7,1482-1549,0.125,8,7,2.75
er,7,1482-1549,0.0625,4,4,2.0
er,8,1482-1549,1.0,57,26,4.275100759437177
er,8,1482-1549,0.5,29,14,3.343631099924343
er,8,1482-1549,0.25,15,12,3.456564762130954
er,8,1482-1549,0.125,8,8,3.0
er,8,1482-1549,0.0625,4,4,2.0
er,9,1482-1549,1.0,57,21,3.9670179289254293
er,9,1482-1549,0.5,29,20,4.185230132909401
er,9,1482-1549,0.25,15,11,3.240223928941852
er,9,1482-1549,0.125,8,6,2.5
er,9,1482-1549,0.0625,4,4,2.0
er,10,1482-1549,1.0,57,26,4.411494399977832
er,10,1482-1549,0.5,29,16,3.8143719431796272
er,10,1482-1549,0.25,15,13,3.640223928941852
er,10,1482-1549,0.125,8,7,2.75
er,10,1482-1549,0.0625,4,4,2.0
er,11,1482-1549,1.0,57,25,4.25546189138869
er,11,1482-1549,0.5,29,14,3.339391339358339
er,11,1482-1549,0.25,15,12,3.456564762130954
er,11,1482-1549,0.125,8,6,2.4056390622295667
er,11,1482-1549,0.0625,4,3,1.5
er,12,1482-1549,1.0,57,24,3.8419436377548464
er,12,1482-1549,0.5,29,19,3.9748899442849224
er,12,1482-1549,0.25,15,9,2.955913095175825
er,12,1482-1549,0.125,8,8,3.0
er,12,1482-1549,0.0625,4,4,2.0
er,13,1482-1549,1.0,57,26,4.424738040366665
er,13,1482-1549,0.5,29,19,4.004364184708141
er,13,1482-1549,0.25,15,10,3.1068905956085193
er,13,1482-1549,0.125,8,8,3.0
er,13,1482-1549,0.0625,4,4,2.0
er,14,1482-1549,1.0,57,26,4.156264901615675
er,14,1482-1549,0.5,29,19,4.017824858003423
er,14,1482-1549,0.25,15,9,2.739572261986723
er,14,1482-1549,0.125,8,5,2.1556390622295667
er,14,1482-1549,0.0625,4,4,2.0
er,15,1482-1549,1.0,57,27,4.410808434761908
er,15,1482-1549,0.5,29,15,3.5336233414528575
er,15,1482-1549,0.25,15,11,3.323231428797621
er,15,1482-1549,0.125,8,5,2.0
er,15,1482-1549,0.0625,4,2,1.0
er,16,1482-1549,1.0,57,24,4.069520044122621
er,16,1482-1549,0.5,29,19,4.116264615668022
er,16,1482-1549,0.25,15,13,3.640223928941852
er,16,1482-1549,0.125,8,7,2.75
er,16,1482-1549,0.0625,4,4,2.0
er,17,1482-1549,1.0,57,24,4.15643427071718
er,17,1482-1549,0.5,29,18,3.8143719431796264
er,17,1482-1549,0.25,15,11,3.323231428797621
er,17,1482-1549,0.125,8,6,2.4056390622295667
er,17,1482-1549,0.0625,4,4,2.0
er,18,1482-1549,1.0,57,25,4.326776480270631
er,18,1482-1549,0.5,29,14,3.4097051330586057
er,18,1482-1549,0.25,15,14,3.773557262275186
er,18,1482-1549,0.125,8,7,2.75
er,18,1482-1549,0.0625,4,4,2.0
er,19,1482-1549,1.0,57,27,4.448787330137004
er,19,1482-1549,0.5,29,16,3.645523772412739
er,19,1482-1549,0.25,15,10,3.1068905956085193
er,19,1482-1549,0.125,8,6,2.5
er,19,1482-1549,0.0625,4,4,2.0
er,20,1482-1549,1.0,57,23,3.993100164329337
er,20,1482-1549,0.5,29,16,3.7679933925607854
er,20,1482-1549,0.25,15,12,3.456564762130954
er,20,1482-1549,0.125,8,7,2.75
er,20,1482-1549,0.0625,4,4,2.0
er,21,1482-1549,1.0,57,26,4.083367656043839
er,21,1482-1549,0.5,29,20,4.168325822713777
er,21,1482-1549,0.25,15,11,3.3735572622751855
er,21,1482-1549,0.125,8,6,2.4056390622295667
er,21,1482-1549,0.0625,4,4,2.0
er,22,1482-1549,1.0,57,21,4.028187883627582
er,22,1482-1549,0.5,29,17,3.892463753748261
er,22,1482-1549,0.25,15,12,3.3735572622751855
er,22,1482-1549,0.125,8,8,3.0
er,22,1482-1549,0.0625,4,4,2.0
er,23,1482-1549,1.0,57,26,4.2400130401389315
er,23,1482-1549,0.5,29,18,3.9783335811852636
er,23,1482-1549,0.25,15,10,3.1068905956085193
er,23,1482-1549,0.125,8,6,2.5
er,23,1482-1549,0.0625,4,4,2.0
er,24,1482-1549,1.0,57,24,4.162273666540217
er,24,1482-1549,0.5,29,15,3.5780011510322693
er,24,1482-1549,0.25,15,10,3.056564762130954
er,24,1482-1549,0.125,8,6,2.5
er,24,1482-1549,0.0625,4,4,2.0
er,25,1482-1549,1.0,57,24,4.334923733721687
er,25,1482-1549,0.5,29,17,3.659536598501245
er,25,1482-1549,0.25,15,12,3.506890595608519
er,25,1482-1549,0.125,8,6,2.4056390622295667
er,25,1482-1549,0.0625,4,3,1.5
er,26,1482-1549,1.0,57,22,4.094761982346074
er,26,1482-1549,0.5,29,18,3.9488593407620445
er,26,1482-1549,0.25,15,12,3.3735572622751855
er,26,1482-1549,0.125,8,3,1.4056390622295665
er,26,1482-1549,0.0625,4,4,2.0
er,27,1482-1549,1.0,57,25,4.14994175476233
er,27,1482-1549,0.5,29,16,3.676440908696869
er,27,1482-1549,0.25,15,11,3.3735572622751855
er,27,1482-1549,0.125,8,7,2.75
er,27,1482-1549,0.0625,4,3,1.5
er,28,1482-1549,1.0,57,28,4.401595120735376
er,28,1482-1549,0.5,29,18,3.974889944284923
er,28,1482-1549,0.25,15,9,3.056564762130954
er,28,1482-1549,0.125,8,7,2.75
er,28,1482-1549,0.0625,4,4,2.0
er,29,1482-1549,1.0,57,23,4.027000593646366
er,29,1482-1549,0.5,29,15,3.6074753914554885
er,29,1482-1549,0.25,15,11,3.3735572622751855
er,29,1482-1549,0.125,8,6,2.4056390622295667
er,29,1482-1549,0.0625,4,4,2.0
er,30,1482-1549,1.0,57,21,3.9831035967916826
er,30,1482-1549,0.5,29,19,3.9783335811852627
er,30,1482-1549,0.25,15,8,2.732914563979398
er,30,1482-1549,0.125,8,7,2.75
er,30,1482-1549,0.0625,4,4,2.0
er,31,1482-1549,1.0,57,27,4.346868533388643
er,31,1482-1549,0.5,29,18,3.922828737239166
er,31,1482-1549,0.25,15,14,3.773557262275186
er,31,1482-1549,0.125,8,8,3.0
er,31,1482-1549,0.0625,4,4,2.0
er,32,1482-1549,1.0,57,22,4.029486724349459
er,32,1482-1549,0.5,29,17,3.8143719431796264
er,32,1482-1549,0.25,15,11,3.240223928941852
er,32,1482-1549,0.125,8,6,2.4056390622295667
er,32,1482-1549,0.0625,4,4,2.0
er,33,1482-1549,1.0,57,24,4.2773059702981024
er,33,1482-1549,0.5,29,15,3.6025888586942365
er,33,1482-1549,0.25,15,9,3.006238928653389
er,33,1482-1549,0.125,8,8,3.0
er,33,1482-1549,0.0625,4,4,2.0
er,34,1482-1549,1.0,57,26,4.256956938448468
er,34,1482-1549,0.5,29,17,3.810928306279286
er,34,1482-1549,0.25,15,9,2.9735572622751856
er,34,1482-1549,0.125,8,5,2.0
er,34,1482-1549,0.0625,4,3,1.5
er,35,1482-1549,1.0,57,24,3.7975213750243295
er,35,1482-1549,0.5,29,16,3.6286194622171153
er,35,1482-1549,0.25,15,9,2.866247897312731
er,35,1482-1549,0.125,8,7,2.75
er,35,1482-1549,0.0625,4,4,2.0
er,36,1482-1549,1.0,57,24,4.1599383222999835
er,36,1482-1549,0.5,29,16,3.7679933925607854
er,36,1482-1549,0.25,15,12,3.456564762130954
er,36,1482-1549,0.125,8,8,3.0
er,36,1482-1549,0.0625,4,4,2.0
er,37,1482-1549,1.0,57,21,4.0660455495969385
er,37,1482-1549,0.5,29,16,3.676440908696869
er,37,1482-1549,0.25,15,10,2.9995812306460645
er,37,1482-1549,0.125,8,6,2.4056390622295667
er,37,1482-1549,0.0625,4,4,2.0
er,38,1482-1549,1.0,57,25,4.31744193683836
er,38,1482-1549,0.5,29,15,3.576558255171358
er,38,1482-1549,0.25,15,8,2.682588730501833
er,38,1482-1549,0.125,8,7,2.75
er,38,1482-1549,0.0625,4,4,2.0
er,39,1482-1549,1.0,57,27,4.239683980600999
er,39,1482-1549,0.5,29,18,4.004364184708141
er,39,1482-1549,0.25,15,12,3.506890595608519
er,39,1482-1549,0.125,8,6,2.5
er,39,1482-1549,0.0625,4,4,2.0
er,40,1482-1549,1.0,57,22,3.850090891205903
er,40,1482-1549,0.5,29,17,3.659536598501245
er,40,1482-1549,0.25,15,10,3.240223928941852
er,40,1482-1549,0.125,8,6,2.4056390622295667
er,40,1482-1549,0.0625,4,3,1.5
er,41,1482-1549,1.0,57,23,4.1384501401649
er,41,1482-1549,0.5,29,14,3.343631099924343
er,41,1482-1549,0.25,15,11,3.323231428797621
er,41,1482-1549,0.125,8,7,2.75
er,41,1482-1549,0.0625,4,4,2.0
er,42,1482-1549,1.0,57,27,4.437295715539572
er,42,1482-1549,0.5,29,14,3.5610968408366466
er,42,1482-1549,0.25,15,9,2.866247897312731
er,42,1482-1549,0.125,8,6,2.5
er,42,1482-1549,0.0625,4,4,2.0
er,43,1482-1549,1.0,57,25,4.317036891464602
er,43,1482-1549,0.5,29,18,3.9783335811852636
er,43,1482-1549,0.25,15,10,3.189898095464288
er,43,1482-1549,0.125,8,8,3.0
er,43,1482-1549,0.0625,4,4,2.0
er,44,1482-1549,1.0,57,26,4.087104487773042
er,44,1482-1549,0.5,29,16,3.8109283062792865
er,44,1482-1549,0.25,15,11,3.3735572622751855
er,44,1482-1549,0.125,8,4,1.9056390622295665
er,44,1482-1549,0.0625,4,4,2.0
er,45,1482-1549,1.0,57,25,4.0728458226303506
er,45,1482-1549,0.5,29,16,3.602588858694238
er,45,1482-1549,0.25,15,9,2.866247897312731
er,45,1482-1549,0.125,8,7,2.75
er,45,1482-1549,0.0625,4,3,1.5
er,46,1482-1549,1.0,57,23,3.9138711021427413
er,46,1482-1549,0.5,29,19,3.8784509276597543
er,46,1482-1549,0.25,15,13,3.640223928941852
er,46,1482-1549,0.125,8,6,2.5
er,46,1482-1549,0.0625,4,4,2.0
er,47,1482-1549,1.0,57,21,3.869167919570056
er,47,1482-1549,0.5,29,15,3.576558255171358
er,47,1482-1549,0.25,15,8,2.6062389286533896
er,47,1482-1549,0.125,8,5,2.0
er,47,1482-1549,0.0625,4,3,1.5
er,48,1482-1549,1.0,57,24,4.169556681700273
er,48,1482-1549,0.5,29,18,3.96142927098964
er,48,1482-1549,0.25,15,12,3.506890595608519
er,48,1482-1549,0.125,8,8,3.0
er,48,1482-1549,0.0625,4,4,2.0
er,49,1482-1549,1.0,57,27,4.319928067541452
er,49,1482-1549,0.5,29,18,3.9059244270435434
er,49,1482-1549,0.25,15,10,3.1068905956085193
er,49,1482-1549,0.125,8,5,2.1556390622295667
er,49,1482-1549,0.0625,4,4,2.0
er,50,1482-1549,1.0,57,25,4.295192812555189
er,50,1482-1549,0.5,29,13,3.0397376863965184
er,50,1482-1549,0.25,15,10,3.1068905956085193
er,50,1482-1549,0.125,8,8,3.0
er,50,1482-1549,0.0625,4,4,2.0
er,51,1482-1549,1.0,57,24,4.291235575902861
er,51,1482-1549,0.5,29,19,4.030394788231019
er,51,1482-1549,0.25,15,13,3.640223928941852
er,51,1482-1549,0.125,8,7,2.75
er,51,1482-1549,0.0625,4,3,1.5
er,52,1482-1549,1.0,57,23,3.9728573247484658
er,52,1482-1549,0.5,29,19,4.047299098426643
er,52,1482-1549,0.25,15,12,3.506890595608519
er,52,1482-1549,0.125,8,8,3.0
er,52,1482-1549,0.0625,4,4,2.0
er,53,1482-1549,1.0,57,25,4.150782051942786
er,53,1482-1549,0.5,29,16,3.4366264796491715
er,53,1482-1549,0.25,15,12,3.456564762130954
er,53,1482-1549,0.125,8,8,3.0
er,53,1482-1549,0.0625,4,4,2.0
er,54,1482-1549,1.0,57,21,3.9857985665306326
er,54,1482-1549,0.5,29,18,3.9059244270435434
er,54,1482-1549,0.25,15,9,2.9735572622751856
er,54,1482-1549,0.125,8,8,3.0
er,54,1482-1549,0.0625,4,4,2.0
er,55,1482-1549,1.0,57,21,3.8816774550471975
er,55,1482-1549,0.5,29,19,4.030394788231019
er,55,1482-1549,0.25,15,11,3.323231428797621
er,55,1482-1549,0.125,8,6,2.5
er,55,1482-1549,0.0625,4,4,2.0
er,56,1482-1549,1.0,57,26,4.27704899156648
er,56,1482-1549,0.5,29,16,3.503352977363976
er,56,1482-1549,0.25,15,11,3.323231428797621
er,56,1482-1549,0.125,8,6,2.4056390622295667
er,56,1482-1549,0.0625,4,4,2.0
er,57,1482-1549,1.0,57,23,4.193838751617014
er,57,1482-1549,0.5,29,18,3.8798938235206655
er,57,1482-1549,0.25,15,8,2.4634582986483036
er,57,1482-1549,0.125,8,8,3.0
er,57,1482-1549,0.0625,4,3,1.5
er,58,1482-1549,1.0,57,25,4.105776470763436
er,58,1482-1549,0.5,29,18,3.667314615369613
er,58,1482-1549,0.25,15,13,3.5898980954642874
er,58,1482-1549,0.125,8,7,2.75
er,58,1482-1549,0.0625,4,4,2.0
er,59,1482-1549,1.0,57,26,4.319928067541452
er,59,1482-1549,0.5,29,17,3.6855672020241235
er,59,1482-1549,0.25,15,8,2.682588730501833
er,59,1482-1549,0.125,8,6,2.4056390622295667
er,59,1482-1549,0.0625,4,4,2.0
er,60,1482-1549,1.0,57,25,4.106181516137195
er,60,1482-1549,0.5,29,19,4.064203408622265
er,60,1482-1549,0.25,15,12,3.456564762130954
er,60,1482-1549,0.125,8,7,2.75
er,60,1482-1549,0.0625,4,4,2.0
